productName,defaultPrice,image
Sen kim lam cỡ lớn 11-13cm  (chậu nhựa),"80,000₫",https://product.hstatic.net/1000187613/product/img_0853_b70e9fee7f3c4fb4a64e57356632485b_large.jpg
Sen xanh nhọn 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_1500_large.jpg
Sen nhung đỏ (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img-2345_55ec46bcb3804103935268d14a9f12e6.JPG
Sen xanh nhọn 11-13cm  (chậu nhựa),"80,000₫",
Sen hồng dâu 11-13cm (chậu nhựa),"80,000₫",
Sen giống mới bụi lớn 20-25cm (chậu nhựa),"800,000₫",
Sen đá vàng bụi lớn 25-30cm (chậu nhựa),"800,000₫",
Xương rồng hamato (chậu nhựa),"60,000₫",
Sen đá hồng bụi lớn (chậu nhựa),"500,000₫",
Đôla bụi lớn (chậu nhựa treo),"150,000₫",https://product.hstatic.net/1000187613/product/img_1725_copy_ad4d8136214349d5abf1e901d6915533_large.jpg
Sen đá cam bụi lớn (chậu nhựa),"600,000₫",https://product.hstatic.net/1000187613/product/img_1093_796dd19e06464156b23e67fb088498dd_large.jpg
Sen guốc (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_6889_189cee1898904f469f27e2752141347e_large.jpg
Sen hoa hồng nâu 3-5cm (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2671_1_5379e29db5124c9db075a65605efd1d5_large.jpg
Sen mix 3 loại chậu sứ,"45,000₫",https://product.hstatic.net/1000187613/product/102863340_2748278315455854_5291819654068532703_o_78834407dced4a5796c49690dc1bad8b_large.jpg
Sen đá dù kim (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_6130_9114619e8ff54a469d88fe3478f91ba2_large.jpg
Viền tím giống mới 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_6391_31bfc9350f634c66984b946452eddd35_large.jpg
Sen đá vàng 3-5cm (bịch nhựa),"15,000₫",
Sen viền cỡ lớn 13-15cm,"80,000₫",
Sen viền tím 13-15cm (chậu nhựa),"80,000₫",
Sen bắp cải hàn 11-15cm (chậu nhựa),"80,000₫",
Viền tím 4-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2868_b9bc69071775447c98ea27471ed9e840_large.jpg
Sen đá sedum vàng (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_3836_6790ae8d2231413889615e92cf237664_large.jpg
Sen đá tứ phương đỏ (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5594_cce0bdf4f78f4ef7944c7ce418109a5e_large.jpg
Sen đá đất trắng (Bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5203_95a89da00f644ccd9231ee5fcce76d28_large.jpg
Sen kim lam 3-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5374_02bced7056274582b93402655138dc5d_large.jpg
Sen đá sedum đen 2-3cm (Bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_4278_b2e4ab34ec13440ab279d710aac34328_large.jpg
Sen viền cam 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_4268_1afeb765b53341eabf831492c14529ba_large.jpg
Sen bèo tím  11-13cm (chậu nhựa),"80,000₫",https://product.hstatic.net/1000187613/product/img_6161_1a05239ab996482198f637be99d79f00_large.jpg
Sen dạ quang 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_5633_fe5a92b9be2249cab97b242ec09b4e44_large.jpg
Sen đá xanh chậu lớn (chậu nhựa),"150,000₫",
Sen đá đỏ chậu lớn (chậu nhựa),"150,000₫",
Sen ngọc lá ngắn 2-3cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_6901_c32a53f3a4654ec5a1ad79285a987511_large.jpg
Sen mận đỏ 3-5cm (bịch nhựa),"15,000₫",
Viền đỏ lá nhỏ 3-5cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_3860_32a15e01b7fd4fa5a55221f7f1eee48b_large.jpg
Sen viền đỏ bụi cỡ lớn 11-13cm (chậu nhựa),"80,000₫",https://product.hstatic.net/1000187613/product/img_2005_0034fc37c9014d4aaf170864b04f6a72_large.jpg
Sen đất hồng 9-11cm (chậu nhựa/bịch nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2012_fd6c6d1204324e2eacf48a8823d11bdf_large.jpg
Sen kim lam 9-11cm (Chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2018_0cca1cb85cb64a87a92ba2378361e69e_large.jpg
Ngọc bích cỡ vừa 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2019_2f02d30664774eca8341d32227d0d360_large.jpg
Sen đất trắng 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2020_10aa72bb25a94eba80ec70bc839d914f_large.jpg
Sen hồng dâu 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2024_c29ba17f795246839d606b2b103c9b13_large.jpg
